nome_file,posizione_primo_picco
20260703_195917_pm1000.h5,1
20260703_205917_pm1000.h5,24619
20260703_215917_pm1000.h5,24237
20260703_225918_pm1000.h5,23855
20260703_235918_pm1000.h5,23474
20260704_005918_pm1000.h5,23092
