file,lunghezza_file,posizione_primo_picco_attesa,posizione_primo_picco_reale,scarto_primo_picco,posizione_ultimo_picco_attesa,posizione_ultimo_picco_reale,scarto_ultimo_picco,scarto_nel_file,scarto_cambio_file,n_picchi_trovati
20260703_195917_pm1000.h5,3600384,1,1,0,3600001,3600003,2,2,,145
20260703_205917_pm1000.h5,3600384,24617,24619,2,3599617,3599622,5,3,0.0,144
20260703_215917_pm1000.h5,3600384,24233,24237,4,3599233,3599240,7,3,-1.0,144
20260703_225918_pm1000.h5,3600384,23849,23855,6,3598849,3598858,9,3,-1.0,144
20260703_235918_pm1000.h5,3600384,23465,23474,9,3598465,3598476,11,2,0.0,144
20260704_005918_pm1000.h5,1863680,23081,23092,11,1848081,1848093,12,1,0.0,74
