timestamp,posizione_primo_picco
20260702_074452,14477
20260702_084452,14477
20260702_094452,14477
20260702_104452,14477
20260702_114452,14477
20260702_124452,14477
20260702_134452,14477
20260702_174452,14477
20260702_184452,14477
20260702_204452,14477
20260702_224452,14477
